time	temp
97.83	25.4018
97.96	25.3305
98.07	25.2683
98.65	24.9117
98.81	24.8044
98.98	24.6861
99.14	24.571
99.3	24.4526
99.5	24.3005
99.66	24.1759
99.83	24.0412
99.93	23.9611
100.053	23.8616
100.16	23.7744
100.34	23.6268
100.5	23.4949
100.65	23.3709
100.8	23.2469
100.92	23.148
101.05	23.0412
101.2	22.9187
101.5	22.6773
101.75	22.481
102	22.2908
102.5	21.9335
103	21.6141
103.954	21.1075
104.1	21.0411
104.3	20.9547
104.4	20.9134
105	20.6918
105.107	20.6567
105.461	20.5499
105.7	20.4855
106	20.413
106.2	20.3696
106.5	20.3115
106.7	20.2773
107	20.2323
107.5	20.1733
107.7	20.1548
107.9	20.139
108.3	20.1151
108.4	20.1106
108.7	20.1003
109	20.0947
109.2	20.0932
109.5	20.094
109.8	20.0981
110	20.1024
110.2	20.1078
110.6	20.1214
110.8	20.1292
110.9	20.1334
111.2	20.1464
111.8	20.1738
112	20.1827
112.3	20.1956
112.5	20.2035
112.7	20.2107
113	20.2201
114	20.2029
115	20.1858
115.298	20.1807
115.931	20.1178
116.565	20.0237
116.776	19.9849
117.269	19.8796
117.691	19.7747
118.691	19.4581
119.522	19.195
120.296	18.9067
121	18.6321
121.164	18.5671
122	18.2341
122.397	18.077
122.562	18.0122
122.726	17.9482
122.89	17.8848
123.055	17.8216
123.219	17.7594
123.384	17.6976
123.548	17.637
123.712	17.5773
123.959	17.4893
124.123	17.4321
124.37	17.3483
124.534	17.2943
125.356	17.0455
125.849	16.9166
126.014	16.8774
126.178	16.8404
126.589	16.7574
127	16.689
127.156	16.6671
127.469	16.6302
127.781	16.6034
127.938	16.5939
128.1	16.5868
128.3	16.5822
128.406	16.5817
128.719	16.5878
128.875	16.5954
129	16.6036
129.187	16.6197
129.4	16.6434
129.6	16.6705
129.8	16.7024
129.969	16.7328
130.1	16.7585
130.3	16.8013
130.6	16.8732
130.8	16.9261
131	16.9826
131.3	17.0741
131.531	17.1497
131.8	17.243
132	17.3159
132.158	17.3755
132.316	17.4367
132.474	17.4995
132.632	17.5638
132.868	17.6625
133.105	17.7647
133.421	17.905
133.579	17.9768
133.974	18.1603
134.132	18.2352
134.289	18.3102
134.447	18.3864
