Taxon_name	Status	MinAge	MaxAge	Site
Protohoplites	extinct	110.1	113.2	1783
Pseudosonneratia	extinct	110.1	113.2	1783
Cleoniceras	extinct	110.1	113.2	1783
Tegoceras	extinct	110.1	113.2	1783
Oxytropidoceras	extinct	110.1	113.2	1783
Hamites	extinct	110.1	113.2	1783
Protanisoceras	extinct	110.1	113.2	1783
Prohelicoceras	extinct	110.1	113.2	1783
Metahamites	extinct	110.1	113.2	1783
Protohoplites	extinct	110.1	113.2	1785
Pseudosonneratia	extinct	110.1	113.2	1785
Cleoniceras	extinct	110.1	113.2	1785
Otohoplites	extinct	110.1	113.2	1785
Douvilleiceras	extinct	110.1	113.2	1785
Roberticeras	extinct	110.1	113.2	1785
Desmoceras	extinct	100.5	106.3	1784
Anisoceras	extinct	100.5	106.3	1784
Puzosia	extinct	100.5	106.3	1784
Pseudhelicoceras	extinct	100.5	106.3	1784
Mortoniceras	extinct	100.5	106.3	1784
Eogunnarites	extinct	100.5	106.3	1784
Mariella	extinct	100.5	106.3	1784
Beudanticeras	extinct	100.5	106.3	1784
Desmoceras	extinct	93.9	100.5	1786
Anisoceras	extinct	93.9	100.5	1786
Pseudhelicoceras	extinct	93.9	100.5	1786
Mortoniceras	extinct	93.9	100.5	1786
Eogunnarites	extinct	93.9	100.5	1786
Desmoceras	extinct	93.9	100.5	1787
Mortoniceras	extinct	93.9	100.5	1787
Desmoceras	extinct	93.9	100.5	1788
Anisoceras	extinct	93.9	100.5	1788
Puzosia	extinct	93.9	100.5	1788
Pseudhelicoceras	extinct	93.9	100.5	1789
Desmoceras	extinct	93.9	100.5	1789
Puzosia	extinct	93.9	100.5	1789
Puzosia	extinct	93.9	100.5	1790
Desmoceras	extinct	93.9	100.5	1791
Puzosia	extinct	93.9	100.5	1792
Desmoceras	extinct	93.9	100.5	1792
Sciponoceras	extinct	93.9	100.5	1796
Desmoceras	extinct	93.9	100.5	1798
Desmoceras	extinct	93.9	100.5	1801
Turrilites	extinct	93.9	106.3	1802
Zealandites	extinct	93.9	106.3	1802
Sciponoceras	extinct	93.9	106.3	1802
Desmoceras	extinct	93.9	106.3	1802
Puzosia	extinct	93.9	100.5	1809
Desmoceras	extinct	93.9	100.5	1810
Puzosia	extinct	93.9	100.5	1810
Hypacanthoplites	extinct	113.2	121.4	1811
Parahoplites	extinct	113.2	121.4	1811
Douvilleiceras	extinct	113.2	121.4	1811
Leymeriella	extinct	113.2	121.4	1811
Protohoplites	extinct	110.1	113.2	1812
Douvilleiceras	extinct	110.1	113.2	1812
Roberticeras	extinct	110.1	113.2	1812
Hypacanthoplites	extinct	110.1	113.2	1812
Hypacanthoplites	extinct	113.2	121.4	1813
Hypacanthoplites	extinct	113.2	121.4	1814
Hypacanthoplites	extinct	113.2	121.4	1815
Hypacanthoplites	extinct	113.2	121.4	1817
Hypacanthoplites	extinct	100.5	113.2	1816
Douvilleiceras	extinct	110.1	113.2	1818
Roberticeras	extinct	110.1	113.2	1818
Sonneratia	extinct	110.1	113.2	1818
Pseudosonneratia	extinct	110.1	113.2	1818
Protohoplites	extinct	110.1	113.2	1818
Otohoplites	extinct	110.1	113.2	1818
Cleoniceras	extinct	110.1	113.2	1818
Protanisoceras	extinct	110.1	113.2	1818
Ancyloceras	extinct	113.2	121.4	1819
Deshayesites	extinct	113.2	121.4	1819
Cheloniceras	extinct	113.2	121.4	1820
Tropaeum	extinct	113.2	121.4	1820
Australiceras	extinct	113.2	121.4	1820
Dufrenoyia	extinct	113.2	121.4	1820
Deshayesites	extinct	113.2	121.4	1821
Cheloniceras	extinct	113.2	121.4	1821
Tropaeum	extinct	113.2	121.4	1821
Tropaeum	extinct	113.2	121.4	1822
Cheloniceras	extinct	113.2	121.4	1822
Dufrenoyia	extinct	113.2	121.4	1822
Ammonitoceras	extinct	113.2	121.4	1822
Australiceras	extinct	113.2	121.4	1822
Epicheloniceras	extinct	113.2	121.4	1822
Sanmartinoceras	extinct	113.2	121.4	1822
Aconeceras	extinct	113.2	121.4	1822
Sonneratia	extinct	113.2	121.4	1823
Hypacanthoplites	extinct	113.2	121.4	1823
Sonneratia	extinct	110.1	113.2	1826
Cleoniceras	extinct	110.1	113.2	1826
Anadesmoceras	extinct	110.1	113.2	1826
Douvilleiceras	extinct	110.1	113.2	1826
Douvilleiceras	extinct	110.1	113.2	1827
Beudanticeras	extinct	110.1	113.2	1827
Cleoniceras	extinct	110.1	113.2	1827
Protanisoceras	extinct	110.1	113.2	1827
Sonneratia	extinct	110.1	113.2	1827
Otohoplites	extinct	100.5	113.2	1828
Douvilleiceras	extinct	100.5	113.2	1828
Roberticeras	extinct	100.5	113.2	1828
Otohoplites	extinct	100.5	113.2	1829
Hoplites	extinct	100.5	113.2	1830
Douvilleiceras	extinct	100.5	113.2	1830
Hoplites	extinct	100.5	113.2	1831
Lyelliceras	extinct	100.5	113.2	1831
Lyelliceras	extinct	100.5	113.2	1832
Beudanticeras	extinct	100.5	113.2	1832
Hoplites	extinct	100.5	113.2	1832
Douvilleiceras	extinct	110.1	113.2	1833
Protanisoceras	extinct	110.1	113.2	1833
Sonneratia	extinct	110.1	113.2	1834
Douvilleiceras	extinct	110.1	113.2	1834
Roberticeras	extinct	110.1	113.2	1834
Cleoniceras	extinct	110.1	113.2	1834
Anadesmoceras	extinct	110.1	113.2	1834
Protanisoceras	extinct	110.1	113.2	1834
Hamites	extinct	110.1	113.2	1834
Otohoplites	extinct	110.1	113.2	1834
Pseudosonneratia	extinct	110.1	113.2	1834
Protohoplites	extinct	110.1	113.2	1834
Tetrahoplites	extinct	110.1	113.2	1834
Tegoceras	extinct	110.1	113.2	1834
Deshayesites	extinct	113.2	121.4	1835
Prodeshayesites	extinct	113.2	121.4	1835
Prodeshayesites	extinct	113.2	121.4	1836
Prodeshayesites	extinct	113.2	121.4	1837
Deshayesites	extinct	113.2	121.4	1837
Tropaeum	extinct	113.2	121.4	1838
Cheloniceras	extinct	113.2	121.4	1838
Australiceras	extinct	113.2	121.4	1838
Dufrenoyia	extinct	113.2	121.4	1838
Quenstedtoceras	extinct	113.2	121.4	1838
Cheloniceras	extinct	113.2	121.4	1839
Parahoplites	extinct	113.2	121.4	1840
Tropaeum	extinct	113.2	121.4	1840
Parahoplites	extinct	113.2	121.4	1841
Tropaeum	extinct	113.2	121.4	1841
Parahoplites	extinct	113.2	121.4	1842
Farnhamia	extinct	100.5	113.2	1844
Hypacanthoplites	extinct	100.5	113.2	1844
Anadesmoceras	extinct	100.5	113.2	1844
Anadesmoceras	extinct	100.5	113.2	1845
Leymeriella	extinct	100.5	113.2	1845
Douvilleiceras	extinct	110.1	113.2	1846
Roberticeras	extinct	110.1	113.2	1846
Otohoplites	extinct	110.1	113.2	1846
Cleoniceras	extinct	110.1	113.2	1846
Sonneratia	extinct	110.1	113.2	1846
Protanisoceras	extinct	110.1	113.2	1846
Hamites	extinct	110.1	113.2	1846
Pictetia	extinct	110.1	113.2	1847
Leymeriella	extinct	110.1	113.2	1847
Neoleymeriella	extinct	110.1	113.2	1847
Cleoniceras	extinct	110.1	113.2	1847
Anadesmoceras	extinct	110.1	113.2	1847
Douvilleiceras	extinct	110.1	113.2	1848
Leymeriella	extinct	110.1	113.2	1848
Roberticeras	extinct	110.1	113.2	1848
Hoplites	extinct	110.1	113.2	1848
Protohoplites	extinct	110.1	113.2	1848
