scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	BodyMass	Eurasia	NAmerica
Protoprocyon	0	0	0	0	0	1	0	0	-1.28721601847452	0	1
Protursus	0	0	0	0	0	1	0	0	0.284705652225587	1	0
Psalidocyon	0	1	0	0	0	0	0	0	-0.49223205963225	0	1
Pseudaelurus	0	0	1	0	0	0	0	0	0.0286343640409065	1	1
Pseudailurus	0	0	0	1	0	0	0	0	1.1736930790076	1	0
Pseudarctos	1	0	0	0	0	0	0	0	0.755667700529803	1	0
Pseudocyon	1	0	0	0	0	0	0	0	1.98709803750996	1	1
Puijila	0	0	0	0	0	1	0	0	-0.435204355882163	0	1
Puma	0	0	1	0	0	0	0	0	0.438861536507473	1	1
Putorius	0	0	0	0	0	1	0	0	-0.74014640178348	1	0
Rhizosmilodon	0	0	1	0	0	0	0	0	1.16814677219503	0	1
Rhodanictis	0	0	0	0	0	1	0	0	-0.381139456688054	1	0
Sabadellictis	0	0	0	0	0	1	0	0	0.376946439674447	1	0
Sansanosmilus	0	0	0	1	0	0	0	0	1.17100690140403	1	0
Sardolutra	0	0	0	0	0	1	0	0	-0.554600167995343	1	0
Satherium	0	0	0	0	0	1	0	0	-0.025125245543232	0	1
Schlossericyon	0	0	0	0	0	0	0	1	-0.233267041564768	1	0
Semantor	0	0	0	0	0	1	0	0	-1.64265224148122	1	0
Semigenetta	0	0	0	0	0	0	0	1	-0.925597368299532	1	0
Siamogale	0	0	0	0	0	1	0	0	-0.409681485896343	1	0
Simocyon	0	0	0	0	0	1	0	0	0.401968033885072	1	0
Sinictis	0	0	0	0	0	1	0	0	-0.749616967547556	1	0
Sivanasua	0	0	0	0	0	0	0	1	-0.775842545165149	1	0
Sivaonyx	0	0	0	0	0	1	0	0	0.0198174942124593	1	0
Smilodon	0	0	1	0	0	0	0	0	1.78242388497308	0	1
Sminthosinis	0	0	0	0	0	1	0	0	-2.05833784027704	0	1
Spilogale	0	0	0	0	0	1	0	0	-2.04573340351397	0	1
Stenogale	0	0	0	1	0	0	0	0	-0.887143987127466	1	0
Sthenictis	0	0	0	0	0	1	0	0	-0.704697428035825	1	1
