scientificName	Amphicyonidae	Canidae	Felidae	FeliformiaOther	Hyaenidae	Musteloidea	Ursidae	Viverridae	LogBodyMass	Eurasia	NAmerica
Phoberocyon	0	0	0	0	0	0	1	0	1.500864681192	1	1
Phoberogale	0	0	0	0	0	0	1	0	0.154451007728654	1	1
Plesictis	0	0	0	0	0	1	0	0	-0.859786411561718	1	0
Plesiogale	0	0	0	0	0	1	0	0	-1.20657457448561	1	0
Plesiogulo	0	0	0	0	0	1	0	0	0.636406353809282	1	1
Pliocrocuta	0	0	0	0	1	0	0	0	0.820169737621611	1	0
Pliocyon	1	0	0	0	0	0	0	0	1.79647405655499	0	1
Pliogale	0	0	0	0	0	1	0	0	-1.41751696155663	0	1
Plionarctos	0	0	0	0	0	0	1	0	1.50760425216828	1	1
Plionictis	0	0	0	0	0	1	0	0	-1.34295261111664	0	1
Pliotaxidea	0	0	0	0	0	1	0	0	-1.0130567539834	0	1
Plioviverrops	0	0	0	0	1	0	0	0	-0.23957994527788	1	0
Plithocyon	0	0	0	0	0	0	1	0	1.07675544972242	1	1
Pogonodon	0	0	0	1	0	0	0	0	0.964334924725613	1	1
Polgardia	0	0	0	0	0	1	0	0	-1.05857127207275	1	0
Potamotherium	0	0	0	0	0	1	0	0	-0.302640496673377	1	0
Potos	0	0	0	0	0	1	0	0	-0.768477358050195	0	1
Prionailurus	0	0	1	0	0	0	0	0	-0.457329131938134	1	0
Prionodon	0	0	0	0	0	0	0	1	-1.73331842299255	1	0
Pristifelis	0	0	1	0	0	0	0	0	0.344477633466838	1	0
Pristinailurus	0	0	0	0	0	1	0	0	-0.73514793191436	0	1
Proailurus	0	0	1	0	0	0	0	0	0.0680339974486415	1	0
Probassariscus	0	0	0	0	0	1	0	0	-0.405794322321775	0	1
Procyon	0	0	0	0	0	1	0	0	-0.373105866631223	0	1
Progenetta	0	0	0	0	0	0	0	1	-0.864381492518336	1	0
Promartes	0	0	0	0	0	1	0	0	-0.310723458986705	0	1
Promegantereon	0	0	1	0	0	0	0	0	0.10439300136694	1	0
