scientificName	earliestAge	latestAge	higherGeography	site
Mesocyon	28	19.09	NAmerica	now_10546
Osbornodon	28	19.09	NAmerica	now_10546
Phlaocyon	28	19.09	NAmerica	now_10546
Enhydrocyon	28	22.2	NAmerica	now_10547
Phlaocyon	28	22.2	NAmerica	now_10547
Osbornodon	28	22.2	NAmerica	now_10547
Phlaocyon	22.2	19.09	NAmerica	now_10550
Cormocyon	22.2	19.09	NAmerica	now_10550
Cynarctoides	22.2	19.09	NAmerica	now_10550
Osbornodon	19.09	18.5	NAmerica	now_10551
Osbornodon	18.5	15.97	NAmerica	now_10552
Metatomarctus	18.5	15.97	NAmerica	now_10552
Euplocyon	18.5	15.97	NAmerica	now_10552
Phlaocyon	17.34	15.97	NAmerica	now_10554
Osbornodon	18.5	15.97	NAmerica	now_10557
Tomarctus	18.5	15.97	NAmerica	now_10557
Euplocyon	18.5	15.97	NAmerica	now_10557
Desmocyon	18.5	17.34	NAmerica	now_10561
Vulpes	3.55	2.5	Eurasia	now_23275
Canis	3.55	2.5	Eurasia	now_23275
Vulpes	3.55	2.5	Eurasia	now_20677
Eucyon	7.1	5.3	Eurasia	now_22952
Nyctereutes	1.9	0.0117	Eurasia	now_27242
Cuon	1.9	0.0117	Eurasia	now_27242
Nyctereutes	1.80951	1.1531666666667	Eurasia	now_24045
Cuon	1.80951	1.1531666666667	Eurasia	now_24045
Cuon	1.80951	1.1531666666667	Eurasia	now_24045
Cuon	1.80951	1.1531666666667	Eurasia	now_24046
Cuon	0.0117	0	Eurasia	now_27120
Eucyon	5.333	2.58	Eurasia	now_27260
Panthera	1.80951	0.0117	Eurasia	now_23056
Felis	9.88	7.1	Eurasia	now_27093
Metailurus	5.333	2.58	Eurasia	now_20664
Homotherium	7.1	5.3	Eurasia	now_24474
Panthera	1.80951	0.0117	Eurasia	now_23056
Crocuta	1.80951	0.0117	Eurasia	now_23056
Adcrocuta	7.6	7.1	Eurasia	now_23625
Chasmaporthetes	7.1	5.3	Eurasia	now_20865
Protictitherium	7.1	5.3	Eurasia	now_20867
Adcrocuta	9.88	7.1	Eurasia	now_27093
Adcrocuta	8.9	7.6	Eurasia	now_20779
Lycyaena	7.1	5.3	Eurasia	now_20071
Adcrocuta	7.1	5.3	Eurasia	now_20071
Hyaenictitherium	7.1	5.3	Eurasia	now_20071
Ictitherium	7.1	5.3	Eurasia	now_20071
Lycyaena	7.1	5.3	Eurasia	now_20071
Hyaenictitherium	7.1	5.3	Eurasia	now_20071
Hyaenictitherium	9.88	7.1	Eurasia	now_27092
Crocuta	9.88	7.1	Eurasia	now_27092
Hyaenictitherium	9.9	8.9	Eurasia	now_20443
Ictitherium	7.6	7.1	Eurasia	now_23587
Protictitherium	16.225	15.935	Eurasia	now_21224
Protictitherium	11.2	9.9	Eurasia	now_20019
Protictitherium	12.85	11.2	Eurasia	now_20048
Ictitherium	12.85	11.2	Eurasia	now_20048
Protictitherium	8.9	5.3	Eurasia	now_27580
Protictitherium	11.2	9.9	Eurasia	now_20213
Protictitherium	11.2	9.9	Eurasia	now_21432
Ictitherium	11.2	9.9	Eurasia	now_21432
Pliocrocuta	3.55	2.5	Eurasia	now_20707
Chasmaporthetes	3.55	2.5	Eurasia	now_20707
Pachycrocuta	1.9	1.6666666666667	Eurasia	now_20487
Parahyaena	1.9	1.6666666666667	Eurasia	now_20487
Crocuta	0.458	0.366	Eurasia	now_24460
Ictitherium	8.972	7.2	Eurasia	now_24572
Hyaenictitherium	8.972	7.2	Eurasia	now_24572
Adcrocuta	7.2	5.3	Eurasia	now_24573
Thalassictis	9.9	8.9	Eurasia	now_24471
Chasmaporthetes	5	3.55	Eurasia	now_24631
Pliocrocuta	5.3	3.55	Eurasia	now_20636
Chasmaporthetes	5.3	3.55	Eurasia	now_20636
Crocuta	0.115	0.01	Eurasia	now_27496
Ictitherium	8.9	7.6	Eurasia	now_23277
Hyaenictitherium	8.9	7.6	Eurasia	now_23277
Hyaena	1.80951	1.1531666666667	Eurasia	now_24136
Pliocrocuta	3.55	2.725	Eurasia	now_20733
Pachycrocuta	3.55	2.725	Eurasia	now_20733
Thalassictis	11.2	9.9	Eurasia	now_27587
Pachycrocuta	1.29585	0.58243333333333	Eurasia	now_24084
Hyaenictitherium	7.1	5.3	Eurasia	now_20270
Ictitherium	7.1	5.3	Eurasia	now_20270
Ictitherium	9.9	8.9	Eurasia	now_20289
Adcrocuta	9.9	8.9	Eurasia	now_20289
Hyaenictitherium	9.9	8.9	Eurasia	now_20289
Thalassictis	11.2	9.9	Eurasia	now_21209
Crocuta	1.9	0.0117	Eurasia	now_24302
Adcrocuta	9.9	8.9	Eurasia	now_20444
Hyaenictitherium	9.9	8.9	Eurasia	now_20444
Hyaenictitherium	9.9	8.9	Eurasia	now_20444
Chasmaporthetes	5.3	5	Eurasia	now_24919
Thalassictis	5.3	5	Eurasia	now_24919
Hyaenictitherium	5.3	5	Eurasia	now_24919
Ictitherium	9.9	8.9	Eurasia	now_26501
Hyaenictitherium	9.9	8.9	Eurasia	now_26501
Hyaenictitherium	7.2	5.3	Eurasia	now_24916
Crocuta	1.29585	0.58243333333333	Eurasia	now_24100
Chasmaporthetes	2.63	1.8	NAmerica	now_10576
Chasmaporthetes	2.63	1.8	NAmerica	now_10581
Chasmaporthetes	2.63	1.8	NAmerica	now_10583
Ictitherium	7.6	7.1	Eurasia	now_23374
Pliocrocuta	3.55	2.5	Eurasia	now_23275
Chasmaporthetes	3.55	2.5	Eurasia	now_23275
Pliocrocuta	3.55	2.5	Eurasia	now_20677
Pliocrocuta	5	3.55	Eurasia	now_20347
Adcrocuta	7.1	5.3	Eurasia	now_22952
Ictitherium	7.1	5.3	Eurasia	now_22952
Hyaenictitherium	7.1	5.3	Eurasia	now_22952
Adcrocuta	7.6	7.1	Eurasia	now_22557
Miohyaenotherium	7.6	7.1	Eurasia	now_22557
Hyaenictitherium	7.6	7.1	Eurasia	now_22557
Pliocrocuta	3.55	2.5	Eurasia	now_20351
Ictitherium	9.9	7.1	Eurasia	now_23616
Adcrocuta	7.6	7.1	Eurasia	now_20198
Protictitherium	14.9333333333333	14.2	Eurasia	now_21285
Lycyaena	7.9015	6.9365	Eurasia	now_23028
Crocuta	1.80951	1.1531666666667	Eurasia	now_24045
