scientificName	earliestAge	latestAge	higherGeography
Borophagus	5.333	3.6	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	13.6	10.3	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	2.588	1.806	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
Borophagus	4.9	1.8	NAmerica
