Species	Status	min_age	max_age
Athyris_concentrica	extinct	376.1	360.7
Athyris_concentrica	extinct	376.1	370.6
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentrica	extinct	383.7	376.1
Athyris_concentricus	extinct	376.1	360.7
Athyris_concentricus	extinct	388.1	376.1
Athyris_concentricus	extinct	388.1	383.7
Athyris_concentricus	extinct	412.3	409.1
Athyris_crassicardinalis	extinct	360.7	345.3
Athyris_davidsoni	extinct	376.1	370.6
Athyris_davidsoni	extinct	383.7	376.1
Athyris_davidsoni	extinct	383.7	376.1
Athyris_davidsoni	extinct	383.7	376.1
Athyris_expansa	extinct	339.4	336
Athyris_expansa	extinct	339.4	336
Athyris_expansa	extinct	339.4	336
Athyris_expansa	extinct	339.4	336
Athyris_expansa	extinct	342.8	339.4
Athyris_expansa	extinct	345.3	345
Athyris_globularis	extinct	326.4	318.1
Athyris_gradis	extinct	409.1	402.5
Athyris_gurdoni	extinct	376.1	370.6
Athyris_gurdoni	extinct	376.1	370.6
Athyris_gurdoni	extinct	376.1	370.6
Athyris_gurdoni	extinct	383.7	376.1
Athyris_kutsingensis	extinct	412.3	409.1
Athyris_lamellosa	extinct	339.4	336
Athyris_lamellosa	extinct	345	336
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	345.3	345
Athyris_lamellosa	extinct	360.7	298.9
Athyris_lamellosa	extinct	360.7	342.8
Athyris_lamellosa	extinct	360.7	342.8
Athyris_multiplicata	extinct	402.5	391.9
Athyris_oehlerti	extinct	383.7	376.1
Athyris_oehlerti	extinct	383.7	376.1
Athyris_oehlerti	extinct	383.7	376.1
Athyris_parvirostra	extinct	345	336
Athyris_pelapayensis	extinct	391.9	388.1
Athyris_postconcentrica	extinct	379.5	376.1
Athyris_postconcentrica	extinct	379.5	376.1
Athyris_spiriferoides	extinct	412.3	409.1
Athyris_sulcifera	extinct	376.1	370.6
Athyris_sulcifera	extinct	376.1	370.6
Athyris_sulcifera	extinct	376.1	370.6
Athyris_sulcifera	extinct	376.1	370.6
Athyris_supervittata	extinct	383.7	376.1
Athyris_supervittata	extinct	383.7	376.1
Athyris_tau	extinct	376.1	370.6
Athyris_tau	extinct	376.1	370.6
Athyris_tiaomachiensis	extinct	412.3	409.1
Athyris_tiaomachiensis	extinct	412.3	409.1
Athyris_transversa	extinct	364.7	360.7
Athyris_vittata	extinct	383.7	376.1
Athyris_vittata	extinct	383.7	376.1
Athyris_vittata	extinct	388.1	383.7
Athyris_waratahensis	extinct	409.1	391.9
Athyris_waratahensis	extinct	409.1	391.9
Athyris_waratahensis	extinct	412.3	391.9
Athyris_wissmanni	extinct	235	221.5
Athyrisina_palicata	extinct	402.5	391.9
Athyrisina_plicata	extinct	402.5	391.9
Athyrisina_spinocostellata	extinct	409.1	391.9
Athyrisina_squamosa	extinct	391.9	388.1
Athyrisina_squamosa	extinct	402.5	391.9
